Study,Sourcelink,Webplotdigitizer,SAVE_lab,year,Country,Assay Type,Cell-type,Sera details long,Number of sera,N(female),Comparator antigen,OmicronVariant,Titre drop,Uncertainty,numerical Titre drop,TitersHAg,TitersOmicron,Log2HAg,Log2Omi,Titre drop Alpha,TitersAlpha,Titre drop Beta,TitersBeta,Titre drop Gamma,TitersGamma,Titre drop Delta,TitersDelta,Sera_details_no_time,time,Standardised_sera_names,standardise_encounters,vacc_type_het,vacc_type,vaccine_manufacturer,standardised_assay,standardised_pseudo,standardised_cell
Balazs,doi: https://doi.org/10.1101/2021.12.14.21267755,y (Delta titers),n,2021,USA,Lentiviral Pseudotype,HEK293T-ACE2,1*Janssen + infection  (6-12 months),6,5,WT,BA.1,>>17,>>,17,603,,,,,,,,,,,,1*Janssen + infection,6-12m,J&J + Inf,vacc+inf,vacc+inf,vacc+inf,vacc+inf,Pseudovirus,Lentiviral,293T-ACE2
Barouch,https://doi.org/10.1101/2022.01.02.22268634,n,y,2022.01.03,USA,Lenti-CMV Pseudotype,HEK293T-hACE2,J&J (1m post dose),20,NA,WT,BA.1,>>13.6,>>,13.6,272,20,,,,,,20,,,,39,J&J,1m post dose,J&J,2,j&j,j&j,j&j,Pseudovirus,Lenti-CMV,293T-ACE2
Barouch,https://doi.org/10.1101/2022.01.02.22268634,n,y,2022.01.03,USA,Lenti-CMV Pseudotype,HEK293T-hACE2,J&J (8m post dose),20,NA,WT,BA.1,>>9.2,>>,9.2,184,20,,,,,,78,,,,60,J&J,8m post dose,J&J,2,j&j,j&j,j&j,Pseudovirus,Lenti-CMV,293T-ACE2
Barouch,https://doi.org/10.1101/2022.01.02.22268634,n,y,2022.01.03,USA,Lenti-CMV Pseudotype,HEK293T-hACE2,2*Pfizer (1m post 2nd dose),31,NA,WT,BA.1,>19.6,>,19.6,512,26,,,,,,115,,,,161,2*Pfizer,1m post 2nd dose,2*Pfizer,2,mRNA,mRNA,pfizer,Pseudovirus,Lenti-CMV,293T-ACE2
Barouch,https://doi.org/10.1101/2022.01.02.22268634,n,y,2022.01.03,USA,Lenti-CMV Pseudotype,HEK293T-hACE2,2*Pfizer (8m post 2nd dose),31,NA,WT,BA.1,>>8,>>,8,160,20,,,,,,54,,,,69,2*Pfizer,8m post 2nd dose,2*Pfizer,2,mRNA,mRNA,pfizer,Pseudovirus,Lenti-CMV,293T-ACE2
Chen,https://doi.org/10.1101/2021.12.17.21267961,n,n,2021.12.20,China,Lentiviral Pseudotype,HEK293T-ACE2,2*CoronaVac + CoronaVac (1m post 3rd dose),292,220,WT,BA.1,>20.1,>,20.1,294.85,14.66,,,,,,,,,,,2*CoronaVac + CoronaVac,1m post 3rd dose,2*CoronaVac + CoronaVac,3,other,other,other,Pseudovirus,Lentiviral,293T-ACE2
Cicin-Sain,https://www.medrxiv.org/content/10.1101/2021.12.21.21267898v1.full.pdf,n,n,2021.12.21,Germany,VSV Pseudovirus,Vero-E6,AZ+Moderna (28d post 2nd dose),11,7,D614G,BA.1,>17.5,>,17.5,1323,75.6,,,,,,368.9,,,,923.8,AZ+Moderna,28d post 2nd dose,AZ + Moderna,2,heterologous,az+mRNA,heterologous,Pseudovirus,VSV,Vero-E6
Cicin-Sain,https://www.medrxiv.org/content/10.1101/2021.12.21.21267898v1.full.pdf,n,n,2021.12.21,Germany,VSV Pseudovirus,Vero-E6,AZ+Pfizer (26d post 2nd dose),15,4,D614G,BA.1,14.7,,14.7,902.8,61.5,,,,,,173.9,,,,173.9,AZ+Pfizer,26d post 2nd dose,AZ + Pfizer,2,heterologous,az+mRNA,heterologous,Pseudovirus,VSV,Vero-E6
Cicin-Sain,https://www.medrxiv.org/content/10.1101/2021.12.21.21267898v1.full.pdf,n,n,2021.12.21,Germany,VSV Pseudovirus,Vero-E6,2*AZ (27d post 2nd dose),14,7,D614G,BA.1,>12.8,>,12.8,186.4,14.6,,,,,,46.4,,,,95.3,2*AZ,27d post 2nd dose,2*AZ,2,mRNA,mRNA,az,Pseudovirus,VSV,Vero-E6
Cicin-Sain,https://www.medrxiv.org/content/10.1101/2021.12.21.21267898v1.full.pdf,n,n,2021.12.21,Germany,VSV Pseudovirus,Vero-E6,2*Moderna (29d post 2nd dose),16,11,D614G,BA.1,15.8,,15.8,526,33.2,,,,,,119.6,,,,481.5,2*Moderna,28d post 2nd dose,2*Moderna,2,mRNA,mRNA,mRNA,Pseudovirus,VSV,Vero-E6
Cicin-Sain,https://www.medrxiv.org/content/10.1101/2021.12.21.21267898v1.full.pdf,n,n,2021.12.21,Germany,VSV Pseudovirus,Vero-E6,2*Pfizer (28d post 2nd dose),15,12,D614G,BA.1,>28.7,>,28.7,393,13.7,,,,,,56.6,,,,503.5,2*Pfizer,28d post 2nd dose,2*Pfizer,2,mRNA,mRNA,pfizer,Pseudovirus,VSV,Vero-E6
Cicin-Sain,https://www.medrxiv.org/content/10.1101/2021.12.21.21267898v1.full.pdf,n,n,2021.12.21,Germany,VSV Pseudovirus,Vero-E6,2*Pfizer (174d post 2nd dose),15,12,D614G,BA.1,>7.5,>,7.5,82.6,10.9,,,,,,31.3,,,,85.7,2*Pfizer,174d post 2nd dose,2*Pfizer,2,mRNA,mRNA,pfizer,Pseudovirus,VSV,Vero-E6
Eckerle,https://doi.org/10.1101/2021.12.28.21268491,n,n,2021.12.31,Switzerland,Live-virus,Vero-E6,Alpha convalescent,12,4,D614G,BA.1,35,,35,27.8,0.8,,,,45.5,,7.4,,3.8,,5.9,Alpha convalescent,,Alpha conv,Alpha conv,Alpha conv,Alpha conv,Alpha conv,Live-virus,Live-virus,Vero-E6
Eckerle,https://doi.org/10.1101/2021.12.28.21268491,n,n,2021.12.31,Switzerland,Live-virus,Vero-E6,Beta convalescent,8,6,D614G,BA.1,6.5,,6.5,6,0.9,,,,2.6,,20.6,,2.6,,3.2,Beta convalescent,,Beta conv,Beta conv,Beta conv,Beta conv,Beta conv,Live-virus,Live-virus,Vero-E6
Eckerle,https://doi.org/10.1101/2021.12.28.21268491,n,n,2021.12.31,Switzerland,Live-virus,Vero-E6,Delta convalescent,10,6,D614G,BA.1,8.2,,8.2,25.1,3.1,,,,18.4,,13.2,,15,,72.8,Delta convalescent,,Delta conv,Delta conv,Delta conv,Delta conv,Delta conv,Live-virus,Live-virus,Vero-E6
Eckerle,https://doi.org/10.1101/2021.12.28.21268491,n,n,2021.12.31,Switzerland,Live-virus,Vero-E6,Gamma convalescent,10,6,D614G,BA.1,10,,10,20.5,2.1,,,,13.9,,18.3,,55.6,,3.2,Gamma convalescent,,Gamma conv,Gamma conv,Gamma conv,Gamma conv,Gamma conv,Live-virus,Live-virus,Vero-E6
Eckerle,https://doi.org/10.1101/2021.12.28.21268491,n,n,2021.12.31,Switzerland,Live-virus,Vero-E6,Inf + 2*mRNA,6,3,D614G,BA.1,18.2,,18.2,1190.4,65.2,,,,683.2,,260.4,,360.4,,494.1,Inf + 2*mRNA,,Inf + 2*mRNA,inf+vacc,inf+vacc,inf+vacc,inf+vacc,Live-virus,Live-virus,Vero-E6
Eckerle,https://doi.org/10.1101/2021.12.28.21268491,n,n,2021.12.31,Switzerland,Live-virus,Vero-E6,2*mRNA,16,12,D614G,BA.1,85.7,,85.7,338,3.9,,,,121.7,,49.3,,62.8,,95.6,2*mRNA,,2*mRNA,2,mRNA,mRNA,mRNA,Live-virus,Live-virus,Vero-E6
Eckerle,https://doi.org/10.1101/2021.12.28.21268491,n,n,2021.12.31,Switzerland,Live-virus,Vero-E6,WT conv,34,14,D614G,BA.1,45.6,,45.6,37.3,0.8,,,,16.7,,14,,10.3,,12,WT conv,,WT conv,WT conv,WT conv,WT conv,WT conv,Live-virus,Live-virus,Vero-E6
Eckerle,https://doi.org/10.1101/2021.12.28.21268491,n,n,2021.12.31,Switzerland,Live-virus,Vero-E6,1/2*mRNA + BA.1,4,1,Delta,BA.1,0.7,,0.7,627.9,913.5,,,,,,,,,,,1/2*mRNA + Omicron,,1/2*mRNA + BA.1,vacc+ba.1,vacc+ba.1,vacc+ba.1,vacc+ba.1,Live-virus,Live-virus,Vero-E6
Eckerle,https://doi.org/10.1101/2021.12.28.21268491,n,n,2021.12.31,Switzerland,Live-virus,Vero-E6,2*mRNA + Delta,4,2,Delta,BA.1,12.5,,12.5,1636,130.9,,,,,,,,,,,2*mRNA + Delta,,2*mRNA + Delta,vacc+inf,vacc+inf,vacc+inf,vacc+inf,Live-virus,Live-virus,Vero-E6
Gao,https://doi.org/10.1101/2021.12.16.472391,n,n,2021.12.20,China,VSV Pseudovirus,Vero,2*CoronaVac + CoronaVac,16,7,WT,BA.1,>5.1,>,5.1,284,56,,,1.3,226,2.2,131,,,1.7,171,2*CoronaVac + CoronaVac,,2*CoronaVac + CoronaVac,3,other,other,other,Pseudovirus,VSV,Vero
Gao,https://doi.org/10.1101/2021.12.16.472391,n,n,2021.12.20,China,VSV Pseudovirus,Vero,WT convalescent,16,NA,WT,BA.1,>>11.1,>>,11.1,193,11.1,,,2,97,6.4,30,,,1.3,147,WT convalescent,,WT conv,WT conv,WT conv,WT conv,WT conv,Pseudovirus,VSV,Vero
Gruell,https://doi.org/10.1101/2021.12.14.21267769,n,n,2021,Germany,Lentiviral Pseudotype,HEK293T-ACE2,WT convalescent + Pfizer boost (2 months post boost),30,16,WT,BA.1,5.16,,5.16,7997,1549,,,,,,,,,,,WT convalescent + Pfizer boost,2m post boost,Inf + Pfizer,inf+vacc,inf+vacc,inf+vacc,inf+vacc,Pseudovirus,Lentiviral,293T-ACE2
Gruell,https://doi.org/10.1101/2021.12.14.21267769,n,n,2021,Germany,Lentiviral Pseudotype,HEK293T-ACE2,2*Pfizer                                 (1 month post 2nd dose),30,17,WT,BA.1,>>68.25,>>,68.25,546,8,,,,,,,,,,,2*Pfizer                                ,1m post 2nd dose,2*Pfizer,2,mRNA,mRNA,pfizer,Pseudovirus,Lentiviral,293T-ACE2
Gruell,https://doi.org/10.1101/2021.12.14.21267769,n,n,2021,Germany,Lentiviral Pseudotype,HEK293T-ACE2,2*Pfizer                                 (5 month post 2nd dose),30,17,WT,BA.1,>15.4,>,15.4,139,9,,,,,,,,,,,2*Pfizer                                ,5m post 2nd dose,2*Pfizer,2,mRNA,mRNA,pfizer,Pseudovirus,Lentiviral,293T-ACE2
Gruell,https://doi.org/10.1101/2021.12.14.21267769,n,n,2021,Germany,Lentiviral Pseudotype,HEK293T-ACE2,2*Pfizer + boost                    (1 month post boost),30,17,WT,BA.1,5.21,,5.21,6241,1196,,,,,,,,,,,2*Pfizer + Pfizer boost,1m post boost,2*Pfizer + Pfizer,3,mRNA,mRNA,pfizer,Pseudovirus,Lentiviral,293T-ACE2
Gruell,https://doi.org/10.1101/2021.12.14.21267769,n,n,2021,Germany,Lentiviral Pseudotype,HEK293T-ACE2,WT convalescent  (1.5 months after recovery),30,16,WT,BA.1,82.3,,82.3,494,6,,,,,,,,,,,WT convalescent,1.5m after recovery,WT conv,WT conv,WT conv,WT conv,WT conv,Pseudovirus,Lentiviral,293T-ACE2
Gruell,https://doi.org/10.1101/2021.12.14.21267769,n,n,2021,Germany,Lentiviral Pseudotype,HEK293T-ACE2,WT convalescent  (12 month after recovery),30,16,WT,BA.1,>11.62,>,11.62,93,8,,,,,,,,,,,WT convalescent,12m after recovery,WT conv,WT conv,WT conv,WT conv,WT conv,Pseudovirus,Lentiviral,293T-ACE2
HKU,http://www.med.hku.hk/en/news/press/20211212-omicron-avoids-killing-by-blood-serum,n,n,2021.12.12,China,Live-virus,Unknown,2*Pfizer                                 (1 month post 2nd dose),10,NA,WT,BA.1.1,>32,>,32,,,,,,,,,,,,,2*Pfizer                                ,1m post 2nd dose,2*Pfizer,2,mRNA,mRNA,pfizer,Live-virus,Live-virus,N/A
Ho,https://www.biorxiv.org/content/10.1101/2021.12.14.472719v1.article-info,n,y,2021,USA,VSV Pseudovirus,Vero-E6,2*AZ (some vaccinated + infected),5,4,D614G,BA.1.1,>>1.57,>>,1.57,157,100,,,,,,,,,,,2*AZ,,2*AZ,2,az,az,az,Pseudovirus,VSV,Vero-E6
Ho,https://www.biorxiv.org/content/10.1101/2021.12.14.472719v1.article-info,n,y,2021,USA,VSV Pseudovirus,Vero-E6,J&J (some vaccinated + infected),9,7,D614G,BA.1.1,>>2.5,>>,2.5,388,153,,,,,,,,,,,J&J,,J&J,2,j&j,j&j,j&j,Pseudovirus,VSV,Vero-E6
Ho,https://www.biorxiv.org/content/10.1101/2021.12.14.472719v1.article-info,n,y,2021,USA,VSV Pseudovirus,Vero-E6,2*Moderna (>2w post 2nd dose),12,9,D614G,BA.1.1,9.3,,9.3,7921,848,,,,,,,,,,,2*Moderna,>2w post 2nd dose,2*Moderna,2,mRNA,mRNA,moderna,Pseudovirus,VSV,Vero-E6
Ho,https://www.biorxiv.org/content/10.1101/2021.12.14.472719v1.article-info,n,y,2021,USA,Live-virus,Vero TMPRSS2,2*mRNA (Moderna or Pfizer) (>2w post 2nd dose),17,NA,D614G,BA.1.1,>>6,>>,6,905,152,,,,,,,,,,,2*mRNA,,2*mRNA,2,mRNA,mRNA,mRNA,Live-virus,Live-virus,Vero TMPRSS2
Ho,https://www.biorxiv.org/content/10.1101/2021.12.14.472719v1.article-info,n,y,2021,USA,VSV Pseudovirus,Vero-E6,2*Pfizer (some vaccinated + infected) (>2w post 2nd dose),13,4,D614G,BA.1.1,>21,>,21,4669,222,,,,,,,,,,,2*Pfizer,,2*Pfizer,2,mRNA,mRNA,pfizer,Pseudovirus,VSV,Vero-E6
Ho,https://www.biorxiv.org/content/10.1101/2021.12.14.472719v1.article-info,n,y,2021,USA,VSV Pseudovirus,Vero-E6,"2*mRNA + homologous boost PV (n= 13 Pfizer, n= 2 Moderna) (>2w post 3rd dose)",15,7,D614G,BA.1.1,6.5,,6.5,4673,715,,,,,,,,,,,2*mRNA + homologous boost,,2*mRNA + mRNA,3,mRNA,mRNA,mRNA,Pseudovirus,VSV,Vero-E6
Ho,https://www.biorxiv.org/content/10.1101/2021.12.14.472719v1.article-info,n,y,2021,USA,Live-virus,Vero TMPRSS2,"2*mRNA + homologous boost LV (n= 13 Pfizer, n= 2 Moderna) (>2w post 3rd dose)",12,NA,D614G,BA.1.1,>>4.1,>>,4.1,584,143,,,,,,,,,,,2*mRNA + homologous boost,,2*mRNA + mRNA,3,mRNA,mRNA,mRNA,Live-virus,Live-virus,Vero TMPRSS2
Ho,https://www.biorxiv.org/content/10.1101/2021.12.14.472719v1.article-info,n,y,2021,USA,VSV Pseudovirus,Vero-E6,WT convalescent,10,4,D614G,BA.1.1,>>32.2,>>,32.2,4344,135,,,,,,,,,,,WT convalescent,,WT conv,WT conv,WT conv,WT conv,WT conv,Pseudovirus,VSV,Vero-E6
Israel MoH,https://twitter.com/JScholar/status/1470110894856286216/photo/1,n,n,2021.12.12,Israel,Live-virus,Unknown,2*vacc,,NA,WT,BA.1,>>14.9,>>,14.9,16.56,1.11,,,,,,1.27,,,,8,2*vacc,,2*Vacc,2,mRNA,mRNA,mRNA,Live-virus,Live-virus,N/A
Israel MoH,https://twitter.com/JScholar/status/1470110894856286216/photo/1,n,n,2021.12.12,Israel,Live-virus,Unknown,3*vacc,,NA,WT,BA.1,8.3,,8.3,891.4,107.6,,,,,,152.2,,,,430.5,3*vacc,,2*Vacc + Vacc,3,mRNA,mRNA,mRNA,Live-virus,Live-virus,N/A
Krammer,https://doi.org/10.1101/2021.12.20.21268134,y (Titers),y,2021.12.22,USA,Live-virus,Vero TMPRSS2,WT convalescent + 2*Moderna (<1m post 2nd dose),10,5,WT,BA.1,10.6,,10.6,3874,359,,,,,3.1,1155,,,,,WT convalescent + 2*Moderna,<1m post 2nd dose,WT conv + 2*Moderna,inf+vacc,inf+vacc,inf+vacc,inf+vacc,Live-virus,Live-virus,Vero-E6 TMPRSS2
Krammer,https://doi.org/10.1101/2021.12.20.21268134,y (Titers),y,2021.12.22,USA,Live-virus,Vero TMPRSS2,WT convalescent + 2*Pfizer (26d post 2nd dose),10,7,WT,BA.1,13.7,,13.7,1766,114,,,,,3.5,494,,,,,WT convalescent + 2*Pfizer,26d post 2nd dose,WT conv + 2*Pfizer,inf+vacc,inf+vacc,inf+vacc,inf+vacc,Live-virus,Live-virus,Vero-E6 TMPRSS2
Krammer,https://doi.org/10.1101/2021.12.20.21268134,y (Titers),y,2021.12.22,USA,Live-virus,Vero TMPRSS2,WT convalescent + 3*Pfizer (<1m post 3rd dose),10,7,WT,BA.1,13.1,,13.1,1412,94,,,,,4.7,273,,,,,WT convalescent + 3*Pfizer,<1m post 3rd dose,WT conv + 3*Pfizer,inf+vacc,inf+vacc,inf+vacc,inf+vacc,Live-virus,Live-virus,Vero-E6 TMPRSS2
Krammer,https://doi.org/10.1101/2021.12.20.21268134,y (Titers),y,2021.12.22,USA,Live-virus,Vero TMPRSS2,2*Moderna (<1m post 2nd dose),10,8,WT,BA.1,>42.6,>,42.6,678,12,,,,,10.1,68,,,,,2*Moderna,<1m post 2nd dose,2*Moderna,2,mRNA,mRNA,moderna,Live-virus,Live-virus,Vero-E6 TMPRSS2
Krammer,https://doi.org/10.1101/2021.12.20.21268134,y (Titers),y,2021.12.22,USA,Live-virus,Vero TMPRSS2,2*Pfizer (<1m post 2nd dose),10,8,WT,BA.1,>23.3,>,23.3,301,11,,,,,5.8,45,,,,,2*Pfizer,<1m post 2nd dose,2*Pfizer,2,mRNA,mRNA,pfizer,Live-virus,Live-virus,Vero-E6 TMPRSS2
Krammer,https://doi.org/10.1101/2021.12.20.21268134,y (Titers),y,2021.12.22,USA,Live-virus,Vero TMPRSS2,2*Moderna + Moderna (<1m post 3rd dose),10,8,WT,BA.1,16.7,,16.7,1311,97,,,,,4,343,,,,,2*Moderna + Moderna,<1m post 3rd dose,2*Moderna + Moderna,3,mRNA,mRNA,moderna,Live-virus,Live-virus,Vero-E6 TMPRSS2
Krammer,https://doi.org/10.1101/2021.12.20.21268134,y (Titers),y,2021.12.22,USA,Live-virus,Vero TMPRSS2,2*Pfizer + Pfizer (<1m post 3rd dose),10,8,WT,BA.1,7.5,,7.5,674,84,,,,,1.3,478,,,,,2*Pfizer + Pfizer,<1m post 3rd dose,2*Pfizer + Pfizer,3,mRNA,mRNA,pfizer,Live-virus,Live-virus,Vero-E6 TMPRSS2
Krammer,https://doi.org/10.1101/2021.12.20.21268134,y (Titers),y,2021.12.22,USA,Live-virus,Vero TMPRSS2,WT convalescent (<1m post infection),15,10,WT,BA.1,>>11.1,>>,11.1,103,9,,,,,4.8,17,,,,,WT convalescent,<1m post infection,WT conv,WT conv,WT conv,WT conv,WT conv,Live-virus,Live-virus,Vero-E6 TMPRSS2
Landau,https://www.biorxiv.org/content/10.1101/2021.12.28.474369v1.full.pdf,n,n,2021.12.30,USA,Lentiviral Pseudotype,293T-ACE2/VERO,Infection + 2*Pfizer (1 month post second dose),7,4,D614G,BA.1,22,,22,4243,192,,,,,,2028,,,,2472,Infection + 2*Pfizer,1m post second dose,Inf + 2*Pfizer,inf+vacc,inf+vacc,inf+vacc,inf+vacc,Pseudovirus,Lentiviral,293T-ACE2
Landau,https://www.biorxiv.org/content/10.1101/2021.12.28.474369v1.full.pdf,n,n,2021.12.30,USA,Lentiviral Pseudotype,293T-ACE2/VERO,Infection + 2*Pfizer (7-8 month post second dose),7,4,D614G,BA.1,30,,30,3270,109,,,,,,1079,,,,1465,Infection + 2*Pfizer,7-8m post second dose,Inf + 2*Pfizer,inf+vacc,inf+vacc,inf+vacc,inf+vacc,Pseudovirus,Lentiviral,293T-ACE2
Landau,https://www.biorxiv.org/content/10.1101/2021.12.28.474369v1.full.pdf,n,n,2021.12.30,USA,Lentiviral Pseudotype,293T-ACE2/VERO,Infection + 3*Pfizer (1 month post third dose),7,4,D614G,BA.1,16.1,,16.1,14868,921,,,,,,10688,,,,14634,Infection + 3*Pfizer,1m post third dose,Inf + 3*Pfizer,inf+vacc,inf+vacc,inf+vacc,inf+vacc,Pseudovirus,Lentiviral,293T-ACE2
Landau,https://www.biorxiv.org/content/10.1101/2021.12.28.474369v1.full.pdf,n,n,2021.12.30,USA,Lentiviral Pseudotype,293T-ACE2/VERO,2*Moderna (80 days post 2nd dose),8,4,D614G,BA.1,26,,26,989,38,,,,,,162,,,,323,2*Moderna,80d post 2nd dose,2*Moderna,2,mRNA,mRNA,moderna,Pseudovirus,Lentiviral,293T-ACE2
Landau,https://www.biorxiv.org/content/10.1101/2021.12.28.474369v1.full.pdf,n,n,2021.12.30,USA,Lentiviral Pseudotype,293T-ACE2/VERO,2*Pfizer (1 month post second dose),12,6,D614G,BA.1,18.3,,18.3,1121,61,,,,,,396,,,,821,2*Pfizer,1m post second dose,2*Pfizer,2,mRNA,mRNA,pfizer,Pseudovirus,Lentiviral,293T-ACE2
